#{"t_start": 1573853127.126076, "env_id": "CartPole-v0"}
r,l,t
58.0,58,157.396992
22.0,22,157.471802
57.0,57,157.664689
40.0,40,157.797188
100.0,100,158.133616
51.0,51,158.315693
124.0,124,158.738404
36.0,36,158.881515
76.0,76,159.139294
82.0,82,159.4208
61.0,61,159.635392
79.0,79,159.913197
135.0,135,160.376495
48.0,48,160.541609
41.0,41,160.68376
19.0,19,160.750814
26.0,26,160.835827
28.0,28,160.934842
105.0,105,161.290108
51.0,51,161.466309
33.0,33,161.576004
41.0,41,161.7226
17.0,17,161.784225
20.0,20,161.853479
19.0,19,161.927467
26.0,26,162.010952
57.0,57,162.198803
66.0,66,162.436738
64.0,64,162.653778
77.0,77,162.922539
24.0,24,163.007402
45.0,45,163.162873
16.0,16,163.214213
25.0,25,163.310411
21.0,21,163.38541
103.0,103,163.733237
113.0,113,164.129511
44.0,44,164.287901
35.0,35,164.41278
55.0,55,164.601309
25.0,25,164.693493
27.0,27,164.782522
115.0,115,165.199674
76.0,76,165.465847
27.0,27,165.557614
119.0,119,165.963773
20.0,20,166.031401
87.0,87,166.338516
84.0,84,166.629494
43.0,43,166.782203
115.0,115,167.176816
19.0,19,167.23531
42.0,42,167.377994
19.0,19,167.446791
111.0,111,167.821351
82.0,82,168.098374
81.0,81,168.379987
42.0,42,168.541216
75.0,75,168.791794
62.0,62,168.997224
62.0,62,169.209948
87.0,87,169.506122
109.0,109,169.864446
73.0,73,170.113546
107.0,107,170.481625
117.0,117,170.879069
53.0,53,171.053152
77.0,77,171.310191
79.0,79,171.579866
29.0,29,171.677985
122.0,122,172.095947
44.0,44,172.252156
29.0,29,172.351444
18.0,18,172.409404
200.0,200,173.08999
154.0,154,173.613123
