#{"t_start": 1573664162.5016398, "env_id": "CartPole-v0"}
r,l,t
137.0,137,202.663973
132.0,132,203.290967
183.0,183,204.12571
177.0,177,204.984451
143.0,143,205.675742
177.0,177,206.486175
200.0,200,207.446926
172.0,172,208.242689
200.0,200,209.152776
200.0,200,210.044101
128.0,128,210.653074
128.0,128,211.256488
150.0,150,211.943883
141.0,141,212.572998
169.0,169,213.400941
200.0,200,214.340692
130.0,130,214.950947
119.0,119,215.484588
135.0,135,216.098755
131.0,131,216.671255
116.0,116,217.218526
115.0,115,217.774985
144.0,144,218.433577
112.0,112,218.954805
133.0,133,219.557178
111.0,111,220.07221
114.0,114,220.626026
153.0,153,221.346149
131.0,131,221.957707
127.0,127,222.542033
122.0,122,223.167304
121.0,121,223.74783
117.0,117,224.310716
142.0,142,224.972875
127.0,127,225.581976
144.0,144,226.282262
141.0,141,226.929175
144.0,144,227.607174
127.0,127,228.213136
128.0,128,228.778274
138.0,138,229.424179
128.0,128,230.042939
131.0,131,230.63259
113.0,113,231.159369
134.0,134,231.773509
178.0,178,232.625484
147.0,147,233.288298
